"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"c[31]",-0.183408084556385,-0.189356479206549,1.11932539971143,1.11567259870497,-2.02547544840215,1.65632346024236,1.00235496656547,1793.12370883028,3196.79866667691
"c[32]",0.774535679880633,0.744257507437071,1.12985926112196,1.12306339489231,-1.02825693382741,2.65574334488091,1.00205497273786,1486.60599342118,3040.36171014806
"c[33]",0.179754917160593,0.165684868599381,1.11686866970131,1.10900121400725,-1.65365016303622,1.95446710023933,1.00206778116837,1382.04632326989,2956.89373187191
"c[34]",1.17321710928943,1.1280062741047,1.16963103027969,1.13004365726856,-0.666202740698398,3.15704357541997,1.00047764858159,1756.8092421635,3373.62471136859
"c[35]",-0.928657612246848,-0.922281343313795,1.1618563770626,1.16066352142763,-2.83608885100214,0.984000440161354,1.00090102375629,1648.32272846182,3275.22122215096
"c[36]",-0.505617854470567,-0.49221879452709,1.14374775892315,1.13106488275436,-2.40519468422183,1.3632358330992,1.00254837635605,1372.62386970292,3059.26808727542
"c[37]",0.0512559755951919,0.0468264081407309,0.698252413230053,0.707219411711591,-1.09167769966404,1.21364679676813,1.0021942818398,1905.60626383428,3719.94588866284
"c[38]",-0.073024689148302,-0.0716098063533201,0.681161407247261,0.67765018058146,-1.18872861985415,1.04739096653184,1.00146546085053,1932.03831458326,3055.64859384203
"c[39]",-0.176300571133668,-0.163794071767174,1.13352652319058,1.11936544730541,-2.04132237990827,1.67353379179558,1.0017408302137,2178.14896220579,4407.32513660538
"c[40]",0.103284962562632,0.119217621993804,1.09873472099087,1.06961687223357,-1.71508062430091,1.89538168286806,1.00044489938449,2499.35541938227,4507.49637494432
"c[41]",-0.169750068581802,-0.168970892356827,1.0968401113352,1.07671800229613,-1.99601636899256,1.63720204980975,1.00232539210486,2205.39005957226,3817.60336660382
"c[42]",-0.384372531857442,-0.373748731480399,1.08258001050104,1.07519295839879,-2.16041830907442,1.404025476147,1.00281000849982,1910.3458528373,3695.49684998314
"c[43]",-0.55192770087357,-0.53492975611383,1.07744079966552,1.05900566697106,-2.33266380985901,1.19623730848345,1.00167820797851,1887.11967626554,3608.59616926664
"c[44]",0.563328443019449,0.549045415581034,1.06128083297853,1.04801629354918,-1.15962980263934,2.31727984981279,1.00278122661382,1588.96406060393,3288.71404150285
"c[45]",-0.43456037684658,-0.430347709800596,1.06692045008809,1.0671074056783,-2.19669577374427,1.30175347919087,1.00217709268272,1548.91759096216,3218.53351857248
"c[46]",0.764336042647115,0.75249289878487,1.10606903920475,1.09010523620705,-1.03991937633314,2.58745380746809,1.00224659289273,1521.71796933327,3130.95620451943
"c[47]",0.577981144193859,0.570917871881216,1.07189434610374,1.06517421812975,-1.17705447197875,2.33401356075465,1.00252760045374,1628.53208184509,3192.86214467433
"c[48]",0.409629555133812,0.413129134738993,1.06749419686024,1.07932262876739,-1.3230747268878,2.17075816042331,1.00223986053784,1698.92628065361,3355.21093683079
"c[49]",0.0532585257623958,0.0603362430403621,0.697535869197467,0.701299491037049,-1.06972284364492,1.19687171364378,1.0015963468489,2255.54908665312,3780.39879040714
"c[50]",-0.0971233305011678,-0.0943006146808623,0.695731935102851,0.675191089932754,-1.2456149536017,1.02508647594995,1.00093976432946,2597.42730256111,3783.07565183884
"c[51]",0.194355769442152,0.186091610581455,1.17535421825685,1.1577393367818,-1.73237425055898,2.14114775159516,1.00077405469801,2512.38334097197,4390.56978971064
"c[52]",-0.834867175454311,-0.82850664003187,1.15348284066139,1.13025042181382,-2.7417491540943,1.03830435991225,1.00111126149621,2263.44302696837,4209.37817163856
"c[53]",0.355691745502735,0.360694533734808,1.08512936291139,1.07248728314659,-1.40630367841313,2.12869958148589,1.00167583308672,2296.88087135538,3849.77920448834
"c[54]",0.842147950562905,0.828826550200632,1.0390706174908,1.04540480146747,-0.86354191734718,2.53567174846618,1.00297521910809,1664.44480103711,3212.39674855369
"c[55]",-0.580912635502779,-0.591876029621715,1.01894739961278,1.01351312297163,-2.2293188548203,1.10070573737732,1.00194233064234,1700.16929962444,3403.83550293459
"c[56]",-0.317214555873339,-0.309250891971035,0.957165355458902,0.939915871725626,-1.88037269460799,1.24211731703786,1.00390437686288,1799.38662380213,3245.35050190058
"c[57]",1.16409250669365,1.15437827129052,0.990763066008839,0.978367668869036,-0.450991004522756,2.79889892762374,1.0035539833379,1758.17825139706,3104.72492554597
"c[58]",0.431795727112802,0.421119032966389,1.03629485061202,1.0092653447635,-1.28296441812583,2.16365350165392,1.00232023744764,1724.51894302573,3433.85005683925
"c[59]",0.507255718898237,0.495762428924037,1.03417631783782,1.0099374250355,-1.17072155137621,2.220380353233,1.00196983175829,1652.90613621163,3238.82955557883
"c[60]",-0.618066219129228,-0.594942889153775,1.00693490345005,1.0073134346095,-2.31176302529181,0.99706826482671,1.00114926042368,1537.82914027158,3105.07965413641
"c[61]",-0.147651878879873,-0.144283631194909,0.717798038475535,0.703115838729404,-1.31183161875361,1.03744655185303,1.00169306205009,2741.55289213082,4708.89689662568
"c[62]",-0.0417624214604509,-0.042530333851821,0.728291144724491,0.719418052184567,-1.24005726022504,1.14621498948977,1.00099681303295,2708.53236059459,4227.25695472803
"c[63]",-0.80463515316972,-0.811898242781021,1.26079376294109,1.27141827900619,-2.85074676369792,1.25300094426679,1.0017918831232,2412.49998952872,3958.20615631782
"c[64]",-0.0714239010140354,-0.0731976517167824,1.19053434432348,1.18554677585645,-2.04394275797652,1.88793892003911,1.00142453432729,2503.43794632065,4529.25674142866
"c[65]",0.82078909568164,0.808211574519905,1.13946548628763,1.16752908083144,-1.00581847845172,2.6911249579284,1.00103198236522,1833.20962121032,3977.55157138136
"c[66]",0.554645955434135,0.553055689085062,1.01646975977376,1.01952599238855,-1.1000883276401,2.24139258972596,1.0018007424297,1695.4343930759,4062.13329406434
"c[67]",0.540845414305718,0.533216555594946,0.985406493038831,0.985309245941132,-1.07509203968883,2.16176397136483,1.00237773569905,1763.50541051925,3841.15036626141
"c[68]",0.29435307826718,0.297996822154966,0.958972255646299,0.966741152455778,-1.27493772455379,1.88230841634507,1.00217837545649,1734.81287802596,3691.74538171328
"c[69]",-0.708556100331472,-0.708954874491465,0.968601193312543,0.96407774551966,-2.30989835502913,0.868055286891577,1.0015649311189,1722.44392302261,3251.7408409774
"c[70]",-1.11149700311772,-1.09949793244215,1.03544372026954,1.02925776473355,-2.82624910422136,0.570010024322067,1.00131254239375,1691.89743310749,3562.31074815086
"c[71]",-1.42733354754793,-1.42559978448917,1.0406476448447,1.02670585169724,-3.14767546151294,0.281929617986161,1.00184301439549,1540.73598875013,3242.73262330475
"c[72]",-1.4748961571401,-1.47141399304668,0.998679424274285,0.986955317092346,-3.12230012657737,0.157373544760335,1.00143112126517,1740.99801522679,3538.80271200011
"c[73]",-0.0661344047958329,-0.0787579393190922,0.778063442893133,0.746590050115757,-1.33664388576388,1.22437886094449,1.00139343163986,2646.69172309329,4222.43256916393
"c[74]",0.0758704089754852,0.0726066095538943,0.761680688988928,0.740738695590433,-1.16695287353803,1.32107536769196,1.00200595011867,2773.90889224329,4629.99386841129
"c[75]",-0.99312764130475,-0.992243257472277,1.36708053427556,1.34792377173203,-3.22688613836174,1.25782269394823,1.00091054541818,2112.15413942122,4184.34307797737
"c[76]",0.81334814758745,0.814810127848423,1.30020960924707,1.30719985318589,-1.35217705485049,2.94965578268449,1.0010500878728,2120.05718287219,4079.63678788165
"c[77]",0.650109479274851,0.640547176832104,1.17739942013844,1.17402830642927,-1.28247910656116,2.58342758502915,1.0009009632819,1909.236384272,4106.19333979032
"c[78]",-0.525295250028092,-0.51546089439485,1.05859401950727,1.05782831343532,-2.26777530296973,1.21107507489411,1.0026411319692,1965.54575735015,4163.2847593125
"c[79]",0.16908875675334,0.186510628937681,1.0114709843528,0.999624758025948,-1.4994100922358,1.82735859650786,1.00161503837929,1728.79598272258,3100.63700873579
"c[80]",0.588266702749938,0.577174738815792,0.974998115226755,0.973193041659127,-0.992615849431465,2.19635709356242,1.00224002650568,1639.9274678692,3377.1385745019
"c[81]",0.531887227345265,0.534826090662817,1.01683774226194,1.01742658847988,-1.15040412218861,2.20524734520103,1.00253082621388,1478.07219190387,3163.85236428194
"c[82]",-0.584902755676521,-0.594825742251294,1.10301669316252,1.10297183340765,-2.38606763872707,1.22505406969981,1.00230226522769,1854.51602510889,3778.04069064371
"c[83]",-1.29036656471849,-1.28019086164264,1.01363135202785,1.01082706540859,-2.96139876157027,0.365619586111556,1.00190814577216,1723.63906022583,3626.76761895946
"c[84]",0.646621473558402,0.64803912817714,1.06278508587873,1.05698167791502,-1.10366866968286,2.39033731502197,1.00145302501497,1775.499285926,3924.14733315367
"c[85]",-0.123073341340384,-0.115200638958047,0.792355880992014,0.770572877791901,-1.43780878653303,1.15914969419554,1.00229482478024,3020.78879094497,4918.19657029114
"c[86]",0.276839849350443,0.260024824454766,0.801738561340051,0.781465139809173,-1.01032046110551,1.59455741187566,1.00085246765335,2507.86506895299,4283.62637881767
"c[87]",0.199696884675411,0.208724762582468,1.4968787223006,1.49478535254191,-2.30115769644024,2.63862825966866,1.00182099766558,2019.8706669005,3898.95905332214
"c[88]",-2.33889746712926,-2.31507134109809,1.46539410888623,1.46779431082564,-4.82844103793159,0.019631305978744,1.00184486238605,1903.89436410836,3884.25382104627
"c[89]",-0.0975610816507438,-0.10306247055105,1.28233043577909,1.29067150967677,-2.18249024955061,2.01049631203544,1.00072215341394,2071.66212554948,3976.40370341826
"c[90]",0.228778372065796,0.229071625762601,1.16751440780245,1.16125603509019,-1.71034262086259,2.14279627843739,1.00102796956588,1912.69854933666,4080.34448676105
"c[91]",-1.3302671948994,-1.30842510611421,1.12188699551551,1.12606249912848,-3.20370385611162,0.498993475046618,1.00209143793218,1756.09752299224,3693.96040894937
"c[92]",0.27030523064662,0.280510793227143,1.10131260723637,1.1088742674354,-1.56355943965756,2.0648063862841,1.00325437375106,1540.46951092099,3565.76401202154
"c[93]",-1.41353344661373,-1.42294946859064,1.12943230394647,1.12152835169125,-3.24661276311891,0.470332129654831,1.00265101703359,1730.58212322002,3119.5556451453
"c[94]",-2.76526309804768,-2.7786526494262,1.26457784478014,1.2643365509571,-4.80962541833939,-0.685291017845678,1.00178641443373,1506.143187422,3210.04633346878
"c[95]",-2.84035669888949,-2.85750828569811,1.16282784072884,1.15506613988917,-4.73091442642178,-0.894751207907812,1.00518508323443,1457.43157861948,3385.92583290961
"c[96]",-3.4634439833097,-3.48577259622743,1.24457272609779,1.24871356120926,-5.50077315303721,-1.38942368394862,1.00339126579598,1741.2253441295,3344.97652962491
"c[97]",-0.183948326842215,-0.168377563213892,0.784804899869495,0.755460450366904,-1.46943043538988,1.10207286341119,1.00136513215555,2995.36251639124,5027.72272453275
"c[98]",0.17300019527022,0.162202179178054,0.795694535176065,0.768051317113076,-1.12117940217158,1.5078833250534,1.00127667078673,2942.63135167577,5294.31727007649
"c[99]",0.334327383408826,0.343697893814292,1.5774353521226,1.54206755194756,-2.27925313827665,2.916400139634,1.00368319358179,2343.81691536618,4462.00818202548
"c[100]",1.40774222301128,1.38710174017518,1.5053030461802,1.50896885403983,-1.02670721739707,3.88070808819728,1.00217314111981,1914.63242952588,4039.90098590848
"c[101]",1.90874412960207,1.88679607748098,1.36004816173363,1.34188798882634,-0.28798815385469,4.18951627521855,1.00225136707263,1911.40223958495,3837.46937299951
"c[102]",-4.3423113148988,-4.33069493120958,1.27111859149891,1.2682091656686,-6.45347240834466,-2.26641885670498,1.00205823311852,2046.0662869047,3777.27647067323
"c[103]",-0.704765057786455,-0.689086603399275,1.22303381808616,1.21395755073578,-2.74175584247221,1.26519274508971,1.00090435453109,1690.1779545401,3534.92128380426
"c[104]",-10.1809664745998,-10.1782617808402,1.24974666250252,1.23197158293495,-12.2572876227164,-8.13509352387283,1.00137498435389,2154.22663932881,4601.65593637727
"c[105]",-1.12051730583352,-1.09780542619803,1.3530582532121,1.36849302908107,-3.3564487504325,1.07051018936774,1.00242537177002,1313.05566090559,3023.29479381518
"c[106]",-4.4324362480583,-4.40127197733703,1.4182208122857,1.40826417477772,-6.80106018741067,-2.14368691900531,1.0027398908443,1670.53522688453,3113.43838880673
"c[107]",6.50733869239775,6.55469286438143,1.28966622109758,1.26468306513571,4.31561616895727,8.54440919417993,1.00243055646889,1226.66361488402,2465.63607818205
"c[108]",6.20445982540599,6.27779636366107,1.49231857184684,1.48317509299857,3.64494122550779,8.51267606891032,1.00249028562273,1592.89227711665,3057.56805865683
"c[109]",-0.0358061694992914,-0.0266280489631535,0.792435647682026,0.7685157904845,-1.35882110184186,1.24832537890012,1.0012387058504,2811.59065625051,5210.16412030633
"c[110]",-0.279928935178864,-0.26202979186061,0.795381195238576,0.763059683411553,-1.59880284812134,0.997750872535254,1.00106345896254,2735.69327292107,4431.16712041697
"c[111]",-2.75793207128873,-2.72862981289217,1.50643069394072,1.49417069962544,-5.28831902390153,-0.346073300009994,1.00256143710327,1970.58595164481,3530.12167789119
"c[112]",-0.0463101814375223,-0.0377942986612784,1.32849109217103,1.34763258551938,-2.24929620079036,2.11730874030905,1.0013375041395,1973.72345547837,4227.92500843502
"c[113]",0.549288505304588,0.540522447976961,1.20295596022965,1.20962730689876,-1.43406441273876,2.5114166120868,1.00262353821436,1596.85957373692,3678.48873547303
"c[114]",-2.83859800137031,-2.82070891893136,1.05130949994723,1.03630246866098,-4.60989678291289,-1.13380990778194,1.00090040449822,1796.7945954258,3873.94822215054
"c[115]",1.27146651353228,1.27886902121538,0.949076292812766,0.957302808589806,-0.294083047943811,2.82829036029778,1.00214472526255,1771.85180817703,3569.25967813673
"c[116]",-6.26101929074036,-6.26800212908177,0.94240057243646,0.939432707289703,-7.79429915840367,-4.68948004381455,1.00207711956614,1808.01817717902,3845.13530335197
"c[117]",-0.717539293320764,-0.730631016108884,0.9306566805027,0.902367403740683,-2.2414758111015,0.824165465074137,1.00150199435422,1544.36591999997,2874.96848883992
"c[118]",-4.04455476423225,-4.05625564885847,1.07217747724572,1.08107940141364,-5.7806934379822,-2.2548667975915,1.00140425486764,1641.35040288392,3260.207903336
"c[119]",-11.784730042003,-11.8051946694544,0.994439082301459,0.982143487717026,-13.3777057839369,-10.1039770956513,1.00234660863539,1424.01310429876,3043.81234928891
"c[120]",-16.2583901156365,-16.296318598646,0.995643026140095,0.98545972607314,-17.8467804221554,-14.5394415883314,1.00193318833444,1530.37509217017,3155.9624768854
"lp__",287.433020243041,287.89438015655,10.7793511068205,10.7095386378675,268.800586137792,304.392458983144,1.00368114224648,1449.21395312535,3762.71154695456
